ID,GITHUB_ID,GITHUB_URL,USEFULL,COMMENT,PREFERED,GITHUB_OWNER_NAME,GITHUB_PROJECT_NAME,GITHUB_DESCRIPTION,GITHUB_LICENSE,GITHUB_IS_FORK,GITHUB_NR_STARGAZERS,GITHUB_NR_WATCHERS,GITHUB_NR_FORKS,GITHUB_NR_OPEN_ISSUES,GITHUB_REPO_CREATION_DATE,GITHUB_LANGUAGE,GIT_PULL_HASH,GIT_PULL_DATE,GIT_NR_COMMITS,GIT_NR_COMMITTERS,GIT_FIRST_COMMIT_DATE,GIT_LAST_COMMIT_DATE,PROCESSED,
814,29610555,https://github.com/ctz/cifra,,,,ctz,cifra,A collection of cryptographic primitives targeted at embedded use.,cc0-1.0,0,143,143,19,0,2015-01-21,C,319fdb764cd12e12b8296358cfcd640346c4d0dd,2017-11-24,256,4,2014-07-17,2017-02-24,0,
617,29723048,https://github.com/Coolerfall/Android-AppUninstallWatcher,,,,Coolerfall,Android-AppUninstallWatcher,[Deprecated]App uninstall watcher.,apache-2.0,0,154,154,52,2,2015-01-23,C,9b3d610b9798d101d61f315c3d0cdba0f180b5c2,2017-11-24,25,2,2015-01-23,2016-08-16,0,
539,30039798,https://github.com/khovratovich/Argon2,,,,khovratovich,Argon2,Memory-hard scheme Argon2 ,cc0-1.0,0,159,159,14,2,2015-01-29,C,562450945800b4660618e7d577e78164425ba010,2017-11-24,146,9,2015-01-29,2016-01-26,0,
688,30145158,https://github.com/xhs/librtcdc,,,,xhs,librtcdc,librtcdc is a tiny WebRTC DataChannel implementation that works everywhere.,bsd-2-clause,0,150,150,25,11,2015-02-01,C,b2db047f4d416b93cd27103c66f049f046badbf1,2017-11-24,116,4,2015-02-01,2017-01-29,0,
278,30163764,https://github.com/letoram/senseye,,,,letoram,senseye,Dynamic Visual Debugging / Reverse Engineering Toolsuite,bsd-3-clause,0,189,189,14,1,2015-02-01,C,a6122c9d4aa6311b694bffe372a5c7486445b333,2017-11-24,182,4,2015-02-02,2017-08-14,0,
702,30216244,https://github.com/graphitemaster/incbin,,,,graphitemaster,incbin,Include binary files in C/C++,unlicense,0,149,149,16,1,2015-02-03,C,c8dda08da18eadf78cd678fc217c52620a0620a4,2017-11-24,51,7,2015-02-03,2017-08-16,0,
378,31194828,https://github.com/hfiref0x/WinObjEx64,,,,hfiref0x,WinObjEx64,Windows Object Explorer 64-bit,bsd-2-clause,0,169,169,58,0,2015-02-23,C,399b30c0e3877c28f85a784ee76d72d90e617fcd,2017-11-24,24,2,2015-02-23,2017-09-15,0,
786,32402214,https://github.com/y-256/libdivsufsort,,,,y-256,libdivsufsort,A lightweight suffix-sorting library,mit,0,145,145,29,10,2015-03-17,C,5f60d6f026c30fb4ac296f696b3c8b0eb71bd428,2017-11-24,28,5,2008-06-17,2015-10-27,0,
624,32749370,https://github.com/drh/cii,,,,drh,cii,C Interfaces and Implementations,mit,0,153,153,43,6,2015-03-23,C,9cb8b5f0a3b634a7459f1788b07d1d2321b8689c,2017-11-24,32,3,2007-01-22,2010-10-06,0,
461,33413658,https://github.com/kylophone/spectrophoto,,,,kylophone,spectrophoto,Turns an image into an audio file. Image is visible on the spectrogram. ,mit,0,164,164,15,0,2015-04-04,C,de54397502991b824a59c4ab1e4558362a9a0764,2017-11-24,49,2,2015-04-04,2017-05-30,0,
460,34135004,https://github.com/israellot/esp-ginx,,,,israellot,esp-ginx,HTTP server for the ESP8266,mit,0,164,164,44,12,2015-04-17,C,b063b0901e6a7bc2e9054470d74b0175d9674a02,2017-11-24,28,6,2015-04-17,2015-11-24,0,
179,34252080,https://github.com/EasyIOS/EasyIOS-Swift,,,,EasyIOS,EasyIOS-Swift,"Swift 2.0 version of EasyIOS,support HTML and FlexBox",mit,0,197,197,57,1,2015-04-20,C,b269aff08a07372bd2a21d5a6a81ee838686638b,2017-11-24,134,5,2015-04-20,2016-01-04,0,
838,34381364,https://github.com/ampotos/dynStruct,,,,ampotos,dynStruct,Reverse engineering tool for automatic structure recovering and memory use analysis based on DynamoRIO and Capstone,mit,0,142,142,22,18,2015-04-22,C,df7c5b7614f05db74b2f5e20d85c595d77ae3752,2017-11-24,296,3,2015-04-22,2017-04-18,0,
359,36061277,https://github.com/squix78/esp8266-projects,,,,squix78,esp8266-projects,,mit,0,182,182,148,14,2015-05-22,C,5d20dd50a5de6618b8e01f10543d7f4973bce57d,2017-11-24,32,3,2015-05-22,2017-08-15,0,
658,36383456,https://github.com/liteserver/binn,,,,liteserver,binn,Binary Serialization,apache-2.0,0,151,151,21,6,2015-05-27,C,65edf180deaf0b24df8c5d60dbbfb30e062e0601,2017-11-24,56,6,2015-05-27,2017-07-07,0,
93,36981674,https://github.com/tmikov/jscomp,,,,tmikov,jscomp,Ahead of time JavaScript compiler,apache-2.0,0,173,173,5,10,2015-06-06,C,83828441cb38ec96603a6a60be06977d4852940a,2017-11-23,432,5,2015-06-06,2016-04-12,0,
72,37087063,https://github.com/solettaproject/soletta,,,,solettaproject,soletta,Soletta Project is a framework for making IoT devices.  With Soletta Project's libraries developers can easily write software for devices that control actuators/sensors and communicate using standard technologies. It enables adding smartness even on the smallest edge devices.  ,apache-2.0,0,175,175,105,105,2015-06-08,C,0e492a892b7c44b96934a894602c23eb0fb46112,2017-11-23,3077,49,2015-06-16,2017-04-24,0,
816,37121923,https://github.com/OpenFastPath/ofp,,,,OpenFastPath,ofp,OpenFastPath project,bsd-3-clause,0,143,143,73,63,2015-06-09,C,333a5a809c706acf993e28da96f9f8a9179e1b8b,2017-11-24,625,38,2015-06-09,2017-11-16,0,
7,37198637,https://github.com/dvhdr/launchpad-pro,,,,dvhdr,launchpad-pro,Open source firmware for the Launchpad Pro grid controller,bsd-3-clause,0,180,180,45,10,2015-06-10,C,af0c758cceb310b69c9192d7cdc8133ba63a3f98,2017-11-23,63,8,2015-06-10,2017-10-24,0,
302,37931803,https://github.com/SpiderLabs/ModSecurity-nginx,,,,SpiderLabs,ModSecurity-nginx,ModSecurity v3 Nginx Connector,apache-2.0,0,187,187,62,8,2015-06-23,C,a2a5858d249222938c2f5e48087a922c63d7f9d8,2017-11-24,108,9,2015-06-26,2017-08-23,0,
161,37988427,https://github.com/cisco-system-traffic-generator/trex-core,,,,cisco-system-traffic-generator,trex-core,trex-core site,apache-2.0,0,199,199,77,3,2015-06-24,C,e8b0e032888d7017877b3d24e9139500f4ed3454,2017-11-24,2984,29,2015-06-24,2017-11-13,0,
114,38133073,https://github.com/MISTLab/Buzz,,,,MISTLab,Buzz,A programming language designed for robot swarms.,mit,0,171,171,25,6,2015-06-26,C,7ed05b7e0120225e41a11181dccb3d29f26ebbf0,2017-11-23,392,8,2015-03-13,2017-11-09,0,
589,38138575,https://github.com/P0cL4bs/Kadimus,,,,P0cL4bs,Kadimus,"Kadimus is a tool to check sites to lfi vulnerability , and also exploit it...",mit,0,155,155,55,1,2015-06-26,C,5897871435420856ce1cef5f92293a4050cf3861,2017-11-24,48,5,2015-03-14,2016-06-17,0,
381,38296783,https://github.com/aanon4/HomeKit,,,,aanon4,HomeKit,HomeKit for Bluetooth Low Energy (BLE) for Nordic nRF51,bsd-2-clause,0,169,169,36,4,2015-06-30,C,8565a9af8a5c96b9fc13ba9c333f36906233ef9f,2017-11-24,55,2,2015-06-30,2015-08-03,0,
45,38772513,https://github.com/sahaRatul/sela,,,,sahaRatul,sela,SimplE Lossless Audio,mit,0,177,177,16,2,2015-07-08,C,1b69e67883ad6c1779885b5f311d834ff806b87c,2017-11-23,183,3,2015-07-08,2017-11-13,0,
193,39196136,https://github.com/sp4cerat/Game-GUI,,,,sp4cerat,Game-GUI,Game GUI is a skin-able GL based Widget Class for Games,mit,0,196,196,28,3,2015-07-16,C,1f6479db7ed582ac594e8ae858827977365d7fe3,2017-11-24,33,3,2015-07-16,2016-04-22,0,
32,39230645,https://github.com/guaxiao/renderer.gua,,,,guaxiao,renderer.gua,"Software 3D Renderer in C++ on Windows, OSX and Linux or other popular flavors of Unix that SDL supports",apache-2.0,0,178,178,53,1,2015-07-17,C,d9cf4272532b6b3bb55f63c73a1e09adb3cce04a,2017-11-23,29,6,2015-07-17,2015-08-03,0,
116,39330705,https://github.com/sctplab/usrsctp,,,,sctplab,usrsctp,A portable SCTP userland stack,bsd-3-clause,0,171,171,86,21,2015-07-19,C,2b9cb3db5253c9277b7fa09f16a6909618d89adc,2017-11-23,2610,27,2011-11-01,2017-11-16,0,
171,39335675,https://github.com/pmwkaa/serenity,,,,pmwkaa,serenity,Disk storage and real transactions under Redis compatible protocol.,bsd-2-clause,0,198,198,12,7,2015-07-19,C,d1915d1398317d97ed2a4a4b5cc11199227e5ea3,2017-11-24,11,4,2015-07-19,2016-07-20,0,
